frame,time,person,component,point,x,y,z,confidence
0,0.0,0,POSE_LANDMARKS,NOSE,331.3307,120.3332,-0.8377,0.9955
0,0.0,0,POSE_LANDMARKS,LEFT_EYE_INNER,343.023,104.0599,-0.7814,0.9874
0,0.0,0,POSE_LANDMARKS,LEFT_EYE,350.1111,104.8104,-0.7822,0.9872
0,0.0,0,POSE_LANDMARKS,LEFT_EYE_OUTER,359.1012,106.0327,-0.7822,0.9883
0,0.0,0,POSE_LANDMARKS,RIGHT_EYE_INNER,319.2164,103.2862,-0.7819,0.9915
0,0.0,0,POSE_LANDMARKS,RIGHT_EYE,311.6062,104.144,-0.7828,0.9941
0,0.0,0,POSE_LANDMARKS,RIGHT_EYE_OUTER,304.925,104.629,-0.7835,0.9949
0,0.0,0,POSE_LANDMARKS,LEFT_EAR,368.3979,116.2016,-0.433,0.9951
0,0.0,0,POSE_LANDMARKS,RIGHT_EAR,292.3593,114.655,-0.4343,0.9908
0,0.0,0,POSE_LANDMARKS,MOUTH_LEFT,345.5738,142.2735,-0.6976,0.9967
0,0.0,0,POSE_LANDMARKS,MOUTH_RIGHT,315.9778,140.9722,-0.7033,0.9964
0,0.0,0,POSE_LANDMARKS,LEFT_SHOULDER,427.2985,232.8984,-0.2156,0.999
0,0.0,0,POSE_LANDMARKS,RIGHT_SHOULDER,231.0577,233.2144,-0.2084,0.9987
0,0.0,0,POSE_LANDMARKS,LEFT_ELBOW,461.5157,386.7743,-0.3078,0.9516
0,0.0,0,POSE_LANDMARKS,RIGHT_ELBOW,190.0623,380.705,-0.3525,0.886
0,0.0,0,POSE_LANDMARKS,LEFT_WRIST,364.8919,416.6371,-0.8102,0.8525
0,0.0,0,POSE_LANDMARKS,RIGHT_WRIST,268.4243,410.7438,-0.929,0.8992
0,0.0,0,POSE_LANDMARKS,LEFT_PINKY,332.2455,441.248,-0.9462,0.8266
0,0.0,0,POSE_LANDMARKS,RIGHT_PINKY,293.9817,438.5582,-1.0928,0.89
0,0.0,0,POSE_LANDMARKS,LEFT_INDEX,326.8289,419.0607,-0.9787,0.8435
0,0.0,0,POSE_LANDMARKS,RIGHT_INDEX,306.8724,413.1806,-1.1133,0.9024
0,0.0,0,POSE_LANDMARKS,LEFT_THUMB,332.8839,408.3313,-0.8304,0.7815
0,0.0,0,POSE_LANDMARKS,RIGHT_THUMB,300.1447,402.7265,-0.9512,0.853
0,0.0,0,POSE_LANDMARKS,LEFT_HIP,385.2557,495.5388,0.0113,0.8863
0,0.0,0,POSE_LANDMARKS,RIGHT_HIP,260.8609,492.4491,-0.0115,0.9014
0,0.0,0,POSE_LANDMARKS,LEFT_KNEE,377.3012,715.7673,-0.0703,0.0652
0,0.0,0,POSE_LANDMARKS,RIGHT_KNEE,252.3584,691.8071,-0.1444,0.0764
0,0.0,0,POSE_LANDMARKS,LEFT_ANKLE,361.1514,881.3392,0.4422,0.0067
0,0.0,0,POSE_LANDMARKS,RIGHT_ANKLE,244.1243,870.0739,0.4914,0.0074
0,0.0,0,POSE_LANDMARKS,LEFT_HEEL,361.9232,904.5825,0.4783,0.0063
0,0.0,0,POSE_LANDMARKS,RIGHT_HEEL,243.5904,894.6765,0.5461,0.0063
0,0.0,0,POSE_LANDMARKS,LEFT_FOOT_INDEX,333.6273,934.8412,0.1702,0.0054
0,0.0,0,POSE_LANDMARKS,RIGHT_FOOT_INDEX,252.217,931.4456,0.2698,0.0042
0,0.0,0,FACE_LANDMARKS,0,326.9688,131.4362,-0.0238,1.0
0,0.0,0,FACE_LANDMARKS,7,299.7393,104.5536,0.0149,1.0
0,0.0,0,FACE_LANDMARKS,10,325.0928,67.1396,0.0185,1.0
0,0.0,0,FACE_LANDMARKS,13,327.6387,136.1079,-0.0201,1.0
0,0.0,0,FACE_LANDMARKS,14,327.6561,136.2261,-0.0198,1.0
0,0.0,0,FACE_LANDMARKS,17,327.9865,141.2923,-0.024,1.0
0,0.0,0,FACE_LANDMARKS,21,284.1062,93.3951,0.05,1.0
0,0.0,0,FACE_LANDMARKS,33,298.3185,104.0255,0.017,1.0
0,0.0,0,FACE_LANDMARKS,37,322.0281,131.13,-0.023,1.0
0,0.0,0,FACE_LANDMARKS,39,317.2256,133.8379,-0.0203,1.0
0,0.0,0,FACE_LANDMARKS,40,314.2158,136.6976,-0.0166,1.0
0,0.0,0,FACE_LANDMARKS,46,292.2694,97.3796,0.0157,1.0
0,0.0,0,FACE_LANDMARKS,52,301.8213,92.0555,0.0075,1.0
0,0.0,0,FACE_LANDMARKS,53,296.196,93.9646,0.0114,1.0
0,0.0,0,FACE_LANDMARKS,54,288.0418,84.7666,0.0419,1.0
0,0.0,0,FACE_LANDMARKS,55,318.7053,94.0717,0.0025,1.0
0,0.0,0,FACE_LANDMARKS,58,288.9299,150.5984,0.0398,1.0
0,0.0,0,FACE_LANDMARKS,61,311.5114,141.3426,-0.0088,1.0
0,0.0,0,FACE_LANDMARKS,63,293.908,92.1859,0.0156,1.0
0,0.0,0,FACE_LANDMARKS,65,309.2011,91.9582,0.0046,1.0
0,0.0,0,FACE_LANDMARKS,66,308.4132,89.1444,0.005,1.0
0,0.0,0,FACE_LANDMARKS,67,303.5514,71.7625,0.024,1.0
0,0.0,0,FACE_LANDMARKS,70,289.7511,96.6002,0.0217,1.0
0,0.0,0,FACE_LANDMARKS,78,312.9013,140.5338,-0.0104,1.0
0,0.0,0,FACE_LANDMARKS,80,317.3263,138.2164,-0.0152,1.0
0,0.0,0,FACE_LANDMARKS,81,320.1886,137.1244,-0.0175,1.0
0,0.0,0,FACE_LANDMARKS,82,323.6852,136.453,-0.0195,1.0
0,0.0,0,FACE_LANDMARKS,84,323.5987,141.5773,-0.0237,1.0
